Active,Admin2,Combined_Key,Confirmed,Country_Region,Deaths,FIPS,Incident_Rate,Last_Update,Lat,Long_,OBJECTID,People_Tested,Province_State,Recovered
44,,"Fujian, China",350,China,1,,,1586135674000,26.0789,117.9874,2520,,Fujian,305
5,,"Gansu, China",139,China,2,,,1586140595000,37.8099,101.0583,2521,,Gansu,132
51,,"Gibraltar, United Kingdom",103,United Kingdom,0,,,1586178920000,36.1408,-5.3536,2522,,Gibraltar,52
0,,"Grand Princess, Canada",13,Canada,0,,,1586179353000,,,2523,,Grand Princess,0
0,,"Grand Princess, US",103,US,3,99999,,1586178941000,,,2524,,Grand Princess,0
8,,"Greenland, Denmark",11,Denmark,0,,,1586178920000,71.7069,-42.6043,2525,,Greenland,3
97,,"Guadeloupe, France",135,France,7,,,1586178920000,16.265,-61.551,2526,,Guadeloupe,31
0,,"Guam, US",112,US,4,00066,,1586178941000,13.4443,144.7937,2527,,Guam,0
129,,"Guangdong, China",1532,China,8,,,1586139443000,23.3417,113.4244,2528,,Guangdong,1395
0,,"Guangxi, China",254,China,2,,,1585786562000,23.8298,108.7881,2529,,Guangxi,252
0,,"Guizhou, China",146,China,2,,,1584495463000,26.8154,106.8748,2530,,Guizhou,144
0,,"Hainan, China",168,China,6,,,1585023554000,19.1959,109.7453,2531,,Hainan,162
11,,"Hebei, China",327,China,6,,,1586048761000,39.549,116.1306,2532,,Hebei,310
42,,"Heilongjiang, China",524,China,13,,,1586133727000,47.862,127.7615,2533,,Heilongjiang,469
2,,"Henan, China",1276,China,22,,,1586133727000,33.882,113.614,2534,,Henan,1252
694,,"Hong Kong, China",914,China,4,,,1586165821000,22.3,114.2,2535,,Hong Kong,216
577,,"Hubei, China",67803,China,3212,,,1586139686000,30.9756,112.2707,2536,,Hubei,64014
1,,"Hunan, China",1019,China,4,,,1585791057000,27.6104,111.7088,2537,,Hunan,1014
43,,"Inner Mongolia, China",118,China,1,,,1586133727000,44.0935,113.9448,2538,,Inner Mongolia,74
137,,"Isle of Man, United Kingdom",138,United Kingdom,1,,,1586178920000,54.2361,-4.5481,2539,,Isle of Man,0
18,,"Jiangsu, China",651,China,0,,,1586050406000,32.9711,119.455,2540,,Jiangsu,633
1,,"Jiangxi, China",937,China,1,,,1585538115000,27.614,115.7221,2541,,Jiangxi,935
5,,"Jilin, China",98,China,1,,,1585441700000,43.6661,126.1923,2542,,Jilin,92
12,,"Liaoning, China",142,China,2,,,1586133727000,41.2956,122.6085,2543,,Liaoning,128
34,,"Macau, China",44,China,0,,,1586053499000,22.1667,113.55,2544,,Macau,10
0,,"Manitoba, Canada",203,Canada,2,,,1586179353000,53.7609,-98.8139,2545,,Manitoba,0
95,,"Martinique, France",149,France,4,,,1586178920000,14.6415,-61.0242,2546,,Martinique,50
131,,"Mayotte, France",147,France,2,,,1586178920000,-12.8275,45.166244,2547,,Mayotte,14
6,,"Montserrat, United Kingdom",6,United Kingdom,0,,,1586178920000,16.742498,-62.187366,2548,,Montserrat,0
0,,"New Brunswick, Canada",101,Canada,0,,,1586179353000,46.5653,-66.4619,2549,,New Brunswick,0
17,,"New Caledonia, France",18,France,0,,,1586178920000,-20.904305,165.618042,2550,,New Caledonia,1
2615,,"New South Wales, Australia",2637,Australia,18,,,1586179368000,-33.8688,151.2093,2551,,New South Wales,4
0,,"Newfoundland and Labrador, Canada",217,Canada,1,,,1586179353000,53.1355,-57.6604,2552,,Newfoundland and Labrador,0
0,,"Ningxia, China",75,China,0,,,1584348425000,37.2692,106.1655,2553,,Ningxia,75
0,,",Northern Mariana Islands,US",6,US,1,,,1586178941000,15.0979,145.6739,2554,,Northern Mariana Islands,0
26,,"Northern Territory, Australia",28,Australia,0,,,1586179368000,-12.4634,130.8456,2555,,Northern Territory,2
0,,",Northwest Territories,Canada",4,Canada,0,,,1586179353000,64.8255,-124.8457,2556,,Northwest Territories,0
0,,"Nova Scotia, Canada",262,Canada,0,,,1586179353000,44.682,-63.7443,2557,,Nova Scotia,0
0,,"Ontario, Canada",4466,Canada,119,,,1586179353000,51.2538,-85.3232,2558,,Ontario,0
0,,"Prince Edward Island, Canada",22,Canada,0,,,1586179353000,46.5107,-63.4168,2559,,Prince Edward Island,0
0,,"Puerto Rico, US",513,US,21,00072,,1586178941000,18.2208,-66.5901,2560,,Puerto Rico,0
0,,"Qinghai, China",18,China,0,,,1582456742000,35.7452,95.9956,2561,,Qinghai,18
0,,"Quebec, Canada",7944,Canada,94,,,1586179353000,52.9399,-73.5491,2562,,Quebec,0
744,,"Queensland, Australia",921,Australia,4,,,1586179368000,-27.4698,153.0251,2563,,Queensland,173
0,,"Recovered, Canada",0,Canada,0,,,1586179353000,,,2564,,Recovered,3081
0,,"Recovered, US",0,US,0,,,1586178941000,,,2565,,Recovered,17582
304,,"Reunion, France",344,France,0,,,1586178920000,-21.1151,55.5364,2566,,Reunion,40
5,,"Saint Barthelemy, France",6,France,0,,,1586178920000,17.9,-62.8333,2567,,Saint Barthelemy,1
1,,"Saint Pierre and Miquelon, France",1,France,0,,,1586178920000,46.8852,-56.3159,2568,,Saint Pierre and Miquelon,0
0,,"Saskatchewan, Canada",249,Canada,3,,,1586179353000,52.9399,-106.4509,2569,,Saskatchewan,0
7,,"Shaanxi, China",256,China,3,,,1586135674000,35.1917,108.8701,2570,,Shaanxi,246
18,,"Shandong, China",780,China,7,,,1586133727000,36.3427,118.1498,2571,,Shandong,755
141,,"Shanghai, China",536,China,6,,,1586151014000,31.202,121.4491,2572,,Shanghai,389
5,,"Shanxi, China",138,China,0,,,1586048334000,37.5777,112.2922,2573,,Shanxi,133
16,,"Sichuan, China",559,China,3,,,1586135674000,30.6171,102.7103,2574,,Sichuan,540
30,,"Sint Maarten, Netherlands",37,Netherlands,6,,,1586178920000,18.0425,-63.0548,2575,,Sint Maarten,1
358,,"South Australia, Australia",411,Australia,0,,,1586179368000,-34.9285,138.6007,2576,,South Australia,53
23,,"St Martin, France",32,France,2,,,1586178920000,18.0708,-63.0501,2577,,St Martin,7
58,,"Tasmania, Australia",86,Australia,2,,,1586179368000,-42.8821,147.3272,2578,,Tasmania,26
33,,"Tianjin, China",180,China,3,,,1586009012000,39.3054,117.323,2579,,Tianjin,144
0,,"Tibet, China",1,China,0,,,1582456742000,31.6927,88.0924,2580,,Tibet,1
4,,"Turks and Caicos Islands, United Kingdom",5,United Kingdom,1,,,1586178920000,21.694,-71.7979,2581,,Turks and Caicos Islands,0
528,,"Victoria, Australia",1158,Australia,10,,,1586179368000,-37.8136,144.9631,2582,,Victoria,620
0,,",Virgin Islands,US",42,US,1,00078,,1586178941000,18.3358,-64.8963,2583,,Virgin Islands,0
294,,"Western Australia, Australia",460,Australia,4,,,1586179368000,-31.9505,115.8605,2584,,Western Australia,162
0,,"Xinjiang, China",76,China,3,,,1583645462000,41.1129,85.2401,2585,,Xinjiang,73
0,,",Yukon,Canada",6,Canada,0,,,1586179353000,64.2823,-135,2586,,Yukon,0
10,,"Yunnan, China",184,China,2,,,1585870423000,24.974,101.487,2587,,Yunnan,172
33,,"Zhejiang, China",1264,China,1,,,1586139443000,29.1832,120.0934,2588,,Zhejiang,1230
343,,Afghanistan,367,Afghanistan,7,,,1586178920000,33.93911,67.709953,2589,,,17
240,,Albania,377,Albania,21,,,1586178920000,41.1533,20.1683,2590,,,116
1078,,Algeria,1320,Algeria,152,,,1586178920000,28.0339,1.6596,2591,,,90
457,,Andorra,501,Andorra,18,,,1586178920000,42.5063,1.5218,2592,,,26
10,,Angola,14,Angola,2,,,1586178920000,-11.2027,17.8739,2593,,,2
15,,Antigua and Barbuda,15,Antigua and Barbuda,0,,,1586178920000,17.0608,-61.7964,2594,,,0
1226,,Argentina,1554,Argentina,48,,,1586178920000,-38.4161,-63.6167,2595,,,280
763,,Armenia,833,Armenia,8,,,1586178920000,40.0691,45.0382,2596,,,62
8523,,Austria,12206,Austria,220,,,1586178920000,47.5162,14.5501,2597,,,3463
590,,Azerbaijan,641,Azerbaijan,7,,,1586178920000,40.1431,47.5769,2598,,,44
20,,Bahamas,29,Bahamas,5,,,1586178920000,25.025885,-78.035889,2599,,,4
268,,Bahrain,723,Bahrain,4,,,1586178920000,26.0275,50.55,2600,,,451
78,,Bangladesh,123,Bangladesh,12,,,1586178920000,23.685,90.3563,2601,,,33
49,,Barbados,56,Barbados,1,,,1586178920000,13.1939,-59.5432,2602,,,6
634,,Belarus,700,Belarus,13,,,1586178920000,53.7098,27.9534,2603,,,53
15196,,Belgium,20814,Belgium,1632,,,1586178920000,50.8333,4.469936,2604,,,3986
4,,",,Belize",5,Belize,1,,,1586178920000,17.1899,-88.4976,2605,,,0
16,,Benin,22,Benin,1,,,1586178920000,9.3077,2.3158,2606,,,5
3,,Bhutan,5,Bhutan,0,,,1586178920000,27.5142,90.4336,2607,,,2
170,,Bolivia,183,Bolivia,11,,,1586178920000,-16.2902,-63.5887,2608,,,2
598,,Bosnia and Herzegovina,674,Bosnia and Herzegovina,29,,,1586178920000,43.9159,17.6791,2609,,,47
5,,Botswana,6,Botswana,1,,,1586178920000,-22.3285,24.6849,2610,,,0
10682,,Brazil,11298,Brazil,489,,,1586178920000,-14.235,-51.9253,2611,,,127
52,,Brunei,135,Brunei,1,,,1586178920000,4.5353,114.7277,2612,,,82
481,,Bulgaria,541,Bulgaria,21,,,1586178920000,42.7339,25.4858,2613,,,39
238,,Burkina Faso,345,Burkina Faso,17,,,1586178920000,12.2383,-1.5616,2614,,,90
20,,Burma,21,Burma,1,,,1586178920000,21.9162,95.956,2615,,,0
3,,Burundi,3,Burundi,0,,,1586178920000,-3.3731,29.9189,2616,,,0
5,,Cabo Verde,7,Cabo Verde,1,,,1586178920000,16.5388,-23.0418,2617,,,1
61,,Cambodia,114,Cambodia,0,,,1586178920000,11.55,104.9167,2618,,,53
632,,Cameroon,658,Cameroon,9,,,1586178920000,3.848,11.5021,2619,,,17
8,,Central African Republic,8,Central African Republic,0,,,1586178920000,6.6111,20.9394,2620,,,0
9,,Chad,9,Chad,0,,,1586178920000,15.4542,18.7322,2621,,,0
3819,,Chile,4471,Chile,34,,,1586178920000,-35.6751,-71.543,2622,,,618
1362,,Colombia,1485,Colombia,35,,,1586178920000,4.5709,-74.2973,2623,,,88
38,,Congo (Brazzaville),45,Congo (Brazzaville),5,,,1586178920000,-4.2634,15.2832,2624,,,2
133,,Congo (Kinshasa),154,Congo (Kinshasa),18,,,1586178920000,-4.322447,15.307045,2625,,,3
436,,Costa Rica,454,Costa Rica,2,,,1586178920000,9.7489,-83.7534,2626,,,16
221,,Cote d'Ivoire,261,Cote d'Ivoire,3,,,1586178920000,7.54,-5.5471,2627,,,37
1076,,Croatia,1222,Croatia,16,,,1586178920000,45.1,15.2,2628,,,130
297,,Cuba,320,Cuba,8,,,1586178920000,21.521757,-77.781167,2629,,,15
400,,Cyprus,446,Cyprus,9,,,1586178920000,35.1264,33.4299,2630,,,37
4423,,Czechia,4591,Czechia,72,,,1586178920000,49.8175,15.473,2631,,,96
3082,,Denmark,4647,Denmark,187,,,1586178920000,56.2639,9.5018,2632,,,1378
82,,Diamond Princess,712,Diamond Princess,11,,,1586178920000,,,2633,,,619
50,,Djibouti,59,Djibouti,0,,,1586178920000,11.8251,42.5903,2634,,,9
14,,Dominica,14,Dominica,0,,,1586178920000,15.415,-61.371,2635,,,0
1646,,Dominican Republic,1745,Dominican Republic,82,,,1586178920000,18.7357,-70.1627,2636,,,17
3366,,Ecuador,3646,Ecuador,180,,,1586178920000,-1.8312,-78.1834,2637,,,100
848,,Egypt,1173,Egypt,78,,,1586178920000,26.820553,30.802498,2638,,,247
64,,El Salvador,69,El Salvador,3,,,1586178920000,13.7942,-88.8965,2639,,,2
15,,Equatorial Guinea,16,Equatorial Guinea,0,,,1586178920000,1.6508,10.2679,2640,,,1
29,,Eritrea,29,Eritrea,0,,,1586178920000,15.1794,39.7823,2641,,,0
1027,,Estonia,1108,Estonia,19,,,1586178920000,58.5953,25.0136,2642,,,62
9,,Eswatini,9,Eswatini,0,,,1586178920000,-26.5225,31.4659,2643,,,0
38,,Ethiopia,44,Ethiopia,2,,,1586178920000,9.145,40.4897,2644,,,4
14,,Fiji,14,Fiji,0,,,1586178920000,-17.7134,178.065,2645,,,0
1849,,Finland,2176,Finland,27,,,1586178920000,61.92411,25.748151,2646,,,300
68578,,France,92839,France,8078,,,1586178920000,46.2276,2.2137,2647,,,16183
22,,Gabon,24,Gabon,1,,,1586178920000,-0.8037,11.6094,2648,,,1
1,,Gambia,4,Gambia,1,,,1586178920000,13.4432,-15.3101,2649,,,2
150,,Georgia,188,Georgia,2,,,1586178920000,42.3154,43.3569,2650,,,36
69896,,Germany,100186,Germany,1590,,,1586178920000,51.165691,10.451526,2651,,,28700
178,,Ghana,214,Ghana,5,,,1586178920000,7.9465,-1.0232,2652,,,31
1581,,Greece,1735,Greece,76,,,1586178920000,39.0742,21.8243,2653,,,78
12,,Grenada,12,Grenada,0,,,1586178920000,12.1165,-61.679,2654,,,0
52,,Guatemala,70,Guatemala,3,,,1586178920000,15.7835,-90.2308,2655,,,15
116,,Guinea,121,Guinea,0,,,1586178920000,9.9456,-9.6966,2656,,,5
18,,Guinea-Bissau,18,Guinea-Bissau,0,,,1586178920000,11.8037,-15.1804,2657,,,0
25,,Guyana,29,Guyana,4,,,1586178920000,4.860416,-58.93018,2658,,,0
19,,Haiti,21,Haiti,1,,,1586178920000,18.9712,-72.2852,2659,,,1
